title,price,availability
A Light in the Attic,51.77,In stock
Tipping the Velvet,53.74,In stock
Soumission,50.1,In stock
Sharp Objects,47.82,In stock
Sapiens: A Brief History of Humankind,54.23,In stock
The Requiem Red,22.65,In stock
The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock
The Black Maria,52.15,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock
Shakespeare's Sonnets,20.66,In stock
Set Me Free,17.46,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock
Rip it Up and Start Again,35.02,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock
Olio,23.88,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock
Libertarianism for Beginners,51.33,In stock
It's Only the Himalayas,45.17,In stock
